key,option,VN,CN,TH
Location information is currently unavailable. Please enable GPS and network connection!,code:addons/wujia_franchise/static/src/js/wujia_gps_field.js:193,Thông tin vị trí hiện không khả dụng. Vui lòng bật GPS và kết nối mạng!,Location information is currently unavailable. Please enable GPS and network connection!,Location information is currently unavailable. Please enable GPS and network connection!
GPS request timed out. Please try again!,code:addons/wujia_franchise/static/src/js/wujia_gps_field.js:196,Yêu cầu GPS đã hết thời gian. Vui lòng thử lại!,GPS request timed out. Please try again!,GPS request timed out. Please try again!
No GPS coordinates to open Google Maps! Please click 'Get Current Location' first.,code:addons/wujia_franchise/static/src/js/wujia_gps_field.js:208,Không có tọa độ GPS để mở Google Maps! Vui lòng bấm 'Lấy vị trí hiện tại' trước.,No GPS coordinates to open Google Maps! Please click 'Get Current Location' first.,No GPS coordinates to open Google Maps! Please click 'Get Current Location' first.
GPS Location,code:addons/wujia_franchise/static/src/js/wujia_gps_field.js:219,Vị trí GPS,GPS位置,ตำแหน่ง GPS
"Grade ""%s"" already exists!",code:addons/wujia_franchise/models/wujia_franchise_inspection_grade.py:79,"Xếp loại ""%s"" đã tồn tại!","Grade ""%s"" already exists!","Grade ""%s"" already exists!"
New Franchise,code:addons/wujia_franchise/models/wujia_franchise_management.py:233,Cửa hàng nhượng quyền mới,New Franchise,New Franchise
Supervision Score History (Last 10 Rounds),code:addons/wujia_franchise/models/wujia_franchise_management.py:388,Lịch sử điểm giám sát (10 đợt gần nhất),Supervision Score History (Last 10 Rounds),Supervision Score History (Last 10 Rounds)
Score per Round,code:addons/wujia_franchise/models/wujia_franchise_management.py:389,Điểm từng đợt,Score per Round,Score per Round
Average Score,code:addons/wujia_franchise/models/wujia_franchise_management.py:390,Điểm trung bình,Average Score,Average Score
No Historical Data Yet!,code:addons/wujia_franchise/models/wujia_franchise_management.py:391,Chưa có dữ liệu lịch sử!,No Historical Data Yet!,No Historical Data Yet!
This store has no completed/remediation inspection sheets yet.,code:addons/wujia_franchise/models/wujia_franchise_management.py:392,Cửa hàng này chưa có phiếu giám sát nào hoàn thành hoặc đang khắc phục.,This store has no completed/remediation inspection sheets yet.,This store has no completed/remediation inspection sheets yet.
Franchise end date must be >= start date.,code:addons/wujia_franchise/models/wujia_franchise_management.py:404,Ngày kết thúc hợp đồng phải >= ngày bắt đầu.,Franchise end date must be >= start date.,Franchise end date must be >= start date.
Email '%s' is invalid.,code:addons/wujia_franchise/models/wujia_franchise_management.py:411,Email '%s' không hợp lệ.,Email '%s' is invalid.,Email '%s' is invalid.
Active store '%s' must have an associated Partner for sales orders/invoicing.,code:addons/wujia_franchise/models/wujia_franchise_management.py:418,Cửa hàng đang hoạt động '%s' bắt buộc phải gắn với một Đối tác để tạo đơn bán hàng/hóa đơn.,Active store '%s' must have an associated Partner for sales orders/invoicing.,Active store '%s' must have an associated Partner for sales orders/invoicing.
Members of %s,code:addons/wujia_franchise/models/wujia_franchise_management.py:436,Thành viên của %s,Members of %s,Members of %s
Document,code:addons/wujia_franchise/models/wujia_franchise_management.py:692,Tài liệu,Document,Document
End date must be >= start date.,code:addons/wujia_franchise/models/wujia_franchise_member.py:99,Ngày kết thúc phải >= ngày bắt đầu.,End date must be >= start date.,End date must be >= start date.
Main owner must have role = Owner.,code:addons/wujia_franchise/models/wujia_franchise_member.py:107,Chủ sở hữu chính bắt buộc phải có vai trò = Chủ sở hữu.,Main owner must have role = Owner.,Main owner must have role = Owner.
Store '%s' already has a main owner. Please deactivate previous owner membership first.,code:addons/wujia_franchise/models/wujia_franchise_member.py:116,Cửa hàng '%s' đã có chủ sở hữu chính. Vui lòng ngưng kích hoạt quyền chủ sở hữu cũ trước.,Store '%s' already has a main owner. Please deactivate previous owner membership first.,Store '%s' already has a main owner. Please deactivate previous owner membership first.
User '%s' already has an active membership in store '%s'.,code:addons/wujia_franchise/models/wujia_franchise_member.py:133,Người dùng '%s' đã là thành viên đang hoạt động tại cửa hàng '%s'.,User '%s' already has an active membership in store '%s'.,User '%s' already has an active membership in store '%s'.
Franchise Memberships of %s,code:addons/wujia_franchise/models/res_users.py:52,Tư cách thành viên nhượng quyền của %s,Franchise Memberships of %s,Franchise Memberships of %s
Only Draft templates can be deleted!,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:87,Chỉ có thể xóa mẫu phiếu ở trạng thái Dự thảo!,Only Draft templates can be deleted!,Only Draft templates can be deleted!
"Inspection template ""%s"" is in ""%s"" status and cannot be modified!
If you want to change criteria, please click ""Create New Version"".",code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:95,"Mẫu phiếu giám sát ""%s"" đang ở trạng thái ""%s"" và không thể chỉnh sửa!
Nếu muốn thay đổi tiêu chí, vui lòng bấm ""Tạo phiên bản mới"".","Inspection template ""%s"" is in ""%s"" status and cannot be modified!
If you want to change criteria, please click ""Create New Version"".","Inspection template ""%s"" is in ""%s"" status and cannot be modified!
If you want to change criteria, please click ""Create New Version""."
Inspection Template (New Version),code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:163,Mẫu phiếu giám sát (Phiên bản mới),Inspection Template (New Version),Inspection Template (New Version)
No Category Selected,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:444,Chưa chọn danh mục,No Category Selected,No Category Selected
Unnamed Criterion,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:450,Tiêu chí chưa đặt tên,Unnamed Criterion,Unnamed Criterion
Cannot delete criteria of an Active or Archived template!,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:456,Không thể xóa tiêu chí của mẫu phiếu đang Hoạt động hoặc Đã lưu trữ!,Cannot delete criteria of an Active or Archived template!,Cannot delete criteria of an Active or Archived template!
Cannot modify criteria of an Active or Archived template!,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:461,Không thể chỉnh sửa tiêu chí của mẫu phiếu đang Hoạt động hoặc Đã lưu trữ!,Cannot modify criteria of an Active or Archived template!,Cannot modify criteria of an Active or Archived template!
Cannot add new criteria to an Active or Archived template!,code:addons/wujia_franchise/models/wujia_franchise_inspection_template.py:469,Không thể thêm tiêu chí mới vào mẫu phiếu đang Hoạt động hoặc Đã lưu trữ!,Cannot add new criteria to an Active or Archived template!,Cannot add new criteria to an Active or Archived template!
New Question,code:addons/wujia_franchise/models/wujia_franchise_inspection_question.py:54,Câu hỏi mới,New Question,New Question
Partner linked to multiple stores,code:addons/wujia_franchise/models/res_partner.py:78,Đối tác liên kết với nhiều cửa hàng,Partner linked to multiple stores,Partner linked to multiple stores
"Document '%(doc)s' has no franchise store specified.
Partner '%(partner)s' belongs to store '%(store)s' — please fill the Franchise Store field and retry.",code:addons/wujia_franchise/models/res_partner.py:100,"Tài liệu '%(doc)s' chưa được chỉ định cửa hàng nhượng quyền.
Đối tác '%(partner)s' thuộc cửa hàng '%(store)s' — vui lòng điền trường Cửa hàng nhượng quyền và thử lại.","Document '%(doc)s' has no franchise store specified.
Partner '%(partner)s' belongs to store '%(store)s' — please fill the Franchise Store field and retry.","Document '%(doc)s' has no franchise store specified.
Partner '%(partner)s' belongs to store '%(store)s' — please fill the Franchise Store field and retry."
Franchise Stores of %s,code:addons/wujia_franchise/models/res_partner.py:116,Các cửa hàng nhượng quyền của %s,Franchise Stores of %s,Franchise Stores of %s
Supervision Score History (Last 10 Rounds),code:addons/wujia_franchise/models/wujia_franchise_inspection.py:436,Lịch sử điểm giám sát (10 đợt gần nhất),Supervision Score History (Last 10 Rounds),Supervision Score History (Last 10 Rounds)
Score per Round,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:437,Điểm từng đợt,Score per Round,Score per Round
Average Score,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:438,Điểm trung bình,Average Score,Average Score
No Historical Data Yet!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:439,Chưa có dữ liệu lịch sử!,No Historical Data Yet!,No Historical Data Yet!
Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:440,Vui lòng chọn Mẫu giám sát hoặc cửa hàng này chưa có phiếu giám sát nào hoàn thành/khắc phục.,Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.,Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.
Supervision Score History (Last 10 Rounds),code:addons/wujia_franchise/models/wujia_franchise_inspection.py:484,Lịch sử điểm giám sát (10 đợt gần nhất),Supervision Score History (Last 10 Rounds),Supervision Score History (Last 10 Rounds)
Score per Round,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:485,Điểm từng đợt,Score per Round,Score per Round
Average Score,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:486,Điểm trung bình,Average Score,Average Score
No Historical Data Yet!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:487,Chưa có dữ liệu lịch sử!,No Historical Data Yet!,No Historical Data Yet!
Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:488,Vui lòng chọn Mẫu giám sát hoặc cửa hàng này chưa có phiếu giám sát nào hoàn thành/khắc phục.,Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.,Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.
Section,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:655,Phần,Section,Section
The inspection must be 'In Progress' to submit the staff exam!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:776,Phiếu giám sát phải ở trạng thái 'Đang thực hiện' để nộp bài thi nhân viên!,The inspection must be 'In Progress' to submit the staff exam!,The inspection must be 'In Progress' to submit the staff exam!
Criterion,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:814,Tiêu chí,Criterion,Criterion
Cannot complete inspection! There are still %s violation criteria not marked Done.,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:863,Không thể hoàn tất giám sát! Vẫn còn %s tiêu chí vi phạm chưa được đánh dấu Hoàn tất.,Cannot complete inspection! There are still %s violation criteria not marked Done.,Cannot complete inspection! There are still %s violation criteria not marked Done.
"Please select a date in ""Next Inspection Date"" before creating a schedule!",code:addons/wujia_franchise/models/wujia_franchise_inspection.py:888,"Vui lòng chọn ngày trong ""Ngày giám sát tiếp theo"" trước khi tạo lịch trình!","Please select a date in ""Next Inspection Date"" before creating a schedule!","Please select a date in ""Next Inspection Date"" before creating a schedule!"
Next Supervision Schedule,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:903,Lịch giám sát tiếp theo,下次督導排程,ตารางตรวจครั้งถัดไป
Cannot change Inspection Name (%s) once created!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:924,Không thể thay đổi Tên đợt giám sát (%s) sau khi đã tạo!,Cannot change Inspection Name (%s) once created!,Cannot change Inspection Name (%s) once created!
Cannot complete inspection! There are still %s violation criteria not marked Done.,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:940,Không thể hoàn tất giám sát! Vẫn còn %s tiêu chí vi phạm chưa được đánh dấu Hoàn tất.,Cannot complete inspection! There are still %s violation criteria not marked Done.,Cannot complete inspection! There are still %s violation criteria not marked Done.
No historical data found for this criterion in previous inspection!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1419,Không tìm thấy dữ liệu lịch sử cho tiêu chí này ở đợt giám sát trước!,No historical data found for this criterion in previous inspection!,No historical data found for this criterion in previous inspection!
Previous Criterion: %s,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1421,Tiêu chí kỳ trước: %s,Previous Criterion: %s,Previous Criterion: %s
Cannot complete inspection! There are still %s violation criteria not marked Done.,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1570,Không thể hoàn tất giám sát! Vẫn còn %s tiêu chí vi phạm chưa được đánh dấu Hoàn tất.,Cannot complete inspection! There are still %s violation criteria not marked Done.,Cannot complete inspection! There are still %s violation criteria not marked Done.
Criterion Category,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1603,Danh mục tiêu chí,Criterion Category,Criterion Category
Undefined Criterion,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1608,Tiêu chí chưa xác định,Undefined Criterion,Undefined Criterion
Please enter Employee Name before saving!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1885,Vui lòng nhập Tên nhân viên trước khi lưu!,Please enter Employee Name before saving!,Please enter Employee Name before saving!
Please select a Franchise Store first!,code:addons/wujia_franchise/models/wujia_franchise_inspection.py:1889,Vui lòng chọn Cửa hàng nhượng quyền trước!,Please select a Franchise Store first!,Please select a Franchise Store first!
Google Maps URL is not set!,code:addons/wujia_franchise/models/wujia_supervision_schedule.py:79,Chưa thiết lập đường dẫn Google Maps!,Google Maps URL is not set!,Google Maps URL is not set!
Schedule title/code (%s) cannot be changed once an inspection sheet has been created!,code:addons/wujia_franchise/models/wujia_supervision_schedule.py:87,Tiêu đề/mã lịch trình (%s) không thể thay đổi sau khi đã tạo phiếu giám sát!,Schedule title/code (%s) cannot be changed once an inspection sheet has been created!,Schedule title/code (%s) cannot be changed once an inspection sheet has been created!
Franchise Management,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Quản lý nhượng quyền,加盟門市管理,การจัดการแฟรนไชส์
Operations,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Vận hành,營運作業,การดำเนินงาน
Franchise Members,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thành viên nhượng quyền,加盟成員管理,สมาชิกแฟรนไชส์
Store Supervision,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Giám sát cửa hàng,門市督導管理,การตรวจสาขา
Inspection Sheets,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phiếu giám sát,督導表,แบบฟอร์มการติดตาม
Supervision Schedules,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Lịch giám sát,督導排程,ตารางตรวจ
Stores Needing Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cửa hàng cần giám sát,待督導門店,ร้านค้าที่ต้องตรวจ
Pending Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Chờ xử lý khắc phục,待改善追蹤,รอการปรับปรุง
Supervision History,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Lịch sử giám sát,督導歷史紀錄,ประวัติการตรวจ
Supervision Configuration,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cấu hình giám sát,督導系統設定,การตั้งค่าการตรวจ
Inspection Templates,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Mẫu phiếu giám sát,督導表範本,แม่แบบแบบฟอร์ม
Inspection Categories,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Danh mục tiêu chí,評核項目分類,หมวดหมู่เกณฑ์
Question Library,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thư viện câu hỏi kiểm tra,考題題庫,คลังคำถาม
Inspection Grades,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xếp hạng giám sát,評核等級,เกรดการประเมิน
Reporting,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Báo cáo,統計報表,รายงาน
Inspection Results Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phân tích kết quả giám sát,督導結果分析,การวิเคราะห์ผล
Violation Criteria Analysis,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์ละเมิด
Configuration,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cấu hình,系統設定,การกำหนดค่า
Area Management,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Quản lý khu vực,區域劃分管理,การจัดการพื้นที่
Areas,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Khu vực,營運區域,พื้นที่
Provinces / Cities,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tỉnh / Thành phố,省／市,จังหวัด/เมือง
Wards,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phường / Xã,坊／社,ตำบล/แขวง
Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Dự thảo,草稿,แบบร่าง
In Progress,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đang thực hiện,進行中,กำลังดำเนินการ
Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Hoàn thành,已完成,เสร็จสิ้น
Need Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cần khắc phục,待改善,ต้องแก้ไข
Cancelled,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã hủy,已取消,ยกเลิก
Cancel,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Hủy bỏ,取消,ยกเลิก
Active,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đang hoạt động,正常營運,ใช้งานอยู่
Expired,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Hết hạn hợp đồng,合約到期,หมดอายุ
Locked,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tạm khóa,暫時鎖定,ล็อค
Closed,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã đóng cửa,已結業,ปิดบริการ
Invoiced,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã xuất hóa đơn,已開立發票,ออกใบแจ้งหนี้แล้ว
Overdue,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Quá hạn,逾期,เกินกำหนด
Today,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Hôm nay,今日,วันนี้
Planned,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã lên lịch,已排程,ตามแผน
Alert,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cảnh báo,警告,เตือน
Error,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Lỗi,錯誤,ข้อผิดพลาด
Owner,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Chủ tiệm,店主,เจ้าของร้าน
Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Quản lý,店長／主管,ผู้จัดการ
Staff,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Nhân viên,門市員工,พนักงาน
Store & Inspector Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thông tin cửa hàng & Giám sát viên,門店及督導人員資訊,Store & Inspector Information
Address & Contact,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Địa chỉ & Liên hệ,地址與聯絡方式,ที่อยู่และข้อมูลติดต่อ
Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Vị trí,位置資訊,ตำแหน่ง
Schedule Date & Latest Inspection Result,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thời gian giám sát & Kết quả khảo sát mới nhất,督導日期與最新評核結果,วันที่ตรวจและผลล่าสุด
Store Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thông tin cửa hàng,門店資訊,ข้อมูลร้านค้า
Timeline & History,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tiến trình & Lịch sử,進度與歷程,ไทม์ไลน์และประวัติ
GPS Check-in & Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Check-in GPS & Vị trí,GPS簽到與位置,การเช็คอิน GPS และตำแหน่ง
Tested Employee Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thông tin nhân viên được kiểm tra,受測員工資訊,ข้อมูลพนักงานที่รับการทดสอบ
Next Inspection Plan,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Kế hoạch khảo sát kế tiếp,下次督導計畫,แผนการตรวจครั้งถัดไป
Notes & Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ghi chú & Khắc phục,備註與改善,บันทึกและแก้ไข
3 Months Revenue,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Doanh thu 3 tháng,近3個月營業額,รายได้ 3 เดือน
Confirmation & Attendance,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xác nhận & Điểm danh,確認與簽核,การยืนยันและการลงชื่อ
Store Appearance Issues & Key Remediations,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ghi nhận ngoại quan kém & lỗi trọng điểm cần khắc phục,門容外觀不佳及重大缺失改善記錄,บันทึกรูปลักษณ์ที่ไม่ดีและข้อบกพร่องสำคัญ
3 MONTHS DETAILED REVENUE REPORT,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",BÁO CÁO CHI TIẾT DOANH THU 3 THÁNG,近3個月營業額詳細報告,รายงานรายได้ 3 เดือนโดยละเอียด
Schedule Title,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tiêu đề lịch giám sát,督導日程標題,หัวข้อตารางตรวจ
Scheduled Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thời gian giám sát,預計督導日期,วันที่ตรวจ
Schedule Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày giám sát,督導日期,วันที่ตรวจ
Latest Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Điểm mới nhất,最新評核分數,คะแนนล่าสุด
Latest Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Loại đánh giá mới nhất,最新評核等級,เกรดล่าสุด
Inspection Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tên phiếu giám sát,評核表名稱,ชื่อแบบประเมิน
Inspector,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Giám sát viên,督導人員,ผู้ตรวจสอบ
Supervisor,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Nhân viên giám sát,督導人員,ผู้ตรวจสอบ
Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cửa hàng,門店,ร้านค้า
Store Code,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Mã cửa hàng,門市代碼,รหัสร้านค้า
Store Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tên cửa hàng,門市名稱,ชื่อร้านค้า
Store Address,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Địa chỉ cửa hàng,門市地址,ที่อยู่ร้านค้า
Store Phone,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Điện thoại cửa hàng,門市電話,เบอร์โทรร้านค้า
Store Email,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Email cửa hàng,門市電子信箱,อีเมลร้านค้า
Partner,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đối tác,合作夥伴,พันธมิตร
Opening Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày khai trương,開幕日期,วันที่เปิดร้าน
Franchise Start Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày bắt đầu hợp đồng,加盟開始日,วันเริ่มสัญญา
Franchise End Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày kết thúc hợp đồng,加盟結束日,วันสิ้นสุดสัญญา
Franchise Expiration Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày hết hạn hợp đồng,合約到期日,วันหมดอายุสัญญา
Remaining Days,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Số ngày còn lại,剩餘天數,จำนวนวันที่เหลือ
Member Count,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Số lượng thành viên,人員數,จำนวนสมาชิก
Primary Owner,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Chủ sở hữu chính,主要負責人,เจ้าของหลัก
Latest Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày khảo sát gần nhất,最新評核日期,วันที่ประเมินล่าสุด
Total Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tổng điểm,總分,คะแนนรวม
Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xếp loại,等級,เกรด
Passed Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã thi đậu,通過測驗,สอบผ่าน
Is Working,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đang làm việc,在職中,กำลังทำงาน
Planned Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày dự kiến,預計日期,วันที่วางแผน
Confirmation Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày xác nhận,確認日期,วันที่ยืนยัน
Previous Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Phiếu khảo sát trước,上次評核,การตรวจครั้งก่อน
Previous Inspection Notes,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ghi nhận đợt trước gần nhất,上次督導缺失記錄,บันทึกการตรวจครั้งก่อน
Latitude,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Vĩ độ (Latitude),緯度,ละติจูด
Longitude,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Kinh độ (Longitude),經度,ลองจิจูด
Check-in Time,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thời gian Check-in GPS,GPS簽到時間,เวลาเช็คอิน GPS
Job Title,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tiêu đề công việc,工作標題,ตำแหน่งงาน
Video,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Video minh chứng,佐證影片,วิดีโอหลักฐาน
GPS Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Vị trí GPS,GPS位置,ตำแหน่ง GPS
Map,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Bản đồ,地圖,แผนที่
Open Google Maps,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xem Google Maps,在Google地圖查看,เปิดใน Google Maps
Google Maps Located,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã định vị Google Maps,Google地圖已定位,ระบุตำแหน่งแล้ว
Located,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đã định vị,已定位,ระบุตำแหน่งแล้ว
Check-in GPS,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Check-in GPS,GPS簽到,เช็คอิน GPS
Status,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Trạng thái,狀態,สถานะ
Notes,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ghi chú,備註,หมายเหตุ
Address,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Địa chỉ,地址,ที่อยู่
Phone,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Số điện thoại,電話,เบอร์โทร
Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Tên,名稱,ชื่อ
Code,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Mã,代碼,รหัส
Role,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Vai trò,角色,บทบาท
Members,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Thành viên,成員,สมาชิก
Attendance,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Điểm danh,出勤簽到,การเข้างาน
Next Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Ngày khảo sát kế tiếp,下次督導日期,วันที่ตรวจครั้งถัดไป
Next Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Lịch giám sát tiếp theo,下次督導排程,ตารางตรวจครั้งถัดไป
Start Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Bắt đầu khảo sát,開始評核,เริ่มการตรวจ
Mark Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Hoàn thành,完成,เสร็จสิ้น
Reset to Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Đặt lại dự thảo,重設為草稿,รีเซ็ตเป็นร่าง
Re-acquire GPS,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Cập nhật lại GPS,重新獲取GPS,รับพิกัด GPS อีกครั้ง
View on Google Maps,"model_terms:ir.ui.view,arch_db:wujia_franchise.all",Xem trên Google Maps,在Google地圖查看,ดูบน Google Maps
