key,option,VN,CN,TH
Next Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ngày khảo sát kế tiếp,下次評核日期,วันที่ตรวจครั้งถัดไป
Create Next Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tạo lịch giám sát tiếp theo,建立下次督導日程,สร้างตารางตรวจครั้งถัดไป
Is Working,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_member__is_working",Đang làm việc,在職狀態,กำลังทำงาน
Currently Working,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đang làm việc,在職,กำลังทำงาน
Resigned / Not Working,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_member_search",Đã nghỉ việc,離職,ลาออก / ไม่ได้ทำงาน
Passed Staff,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__passed_member_ids",Nhân viên thi đậu,已通過考核員工,พนักงานที่ผ่านการทดสอบ

Consecutive C Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_c_count",Số lần liên tiếp loại C,連續C級次數,จำนวนครั้งที่ได้เกรด C ติดต่อกัน
Consecutive D Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_d_count",Số lần liên tiếp loại D,連續D級次數,จำนวนครั้งที่ได้เกรด D ติดต่อกัน
Consecutive C,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Liên tiếp loại C,連續C級,เกรด C ติดต่อกัน
Consecutive D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Liên tiếp loại D,連續D級,เกรด D ติดต่อกัน
Needs Supervision (Grade C / D),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_search",Cần giám sát (Loại C / D),待監督（C/D級）,ต้องตรวจสอบ (เกรด C / D)
Consecutive C/D Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__consecutive_cd_count",Số lần liên tiếp loại C/D,連續C/D級次數,จำนวนครั้งที่ได้เกรด C/D ติดต่อกัน
Consecutive C/D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_list",Liên tiếp loại C/D,連續C/D級,เกรด C/D ติดต่อกัน
Documents,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__document_ids",Tài liệu,文件,เอกสาร
Documents,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tài liệu,文件,เอกสาร
Document Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__name",Tên tài liệu,文件名稱,ชื่อเอกสาร
Attachment File,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__file",Tệp tài liệu,附加檔案,ไฟล์แนบ
Document Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__document_type",Loại tài liệu,文件類型,ประเภทเอกสาร
Contract / Agreement,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_document__document_type__contract",Hợp đồng nhượng quyền,加盟合約,สัญญาแฟรนไชส์
Business License / Certificate,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_document__document_type__license",Giấy phép kinh doanh,營業執照,ใบอนุญาตประกอบธุรกิจ
Food Safety Certificate,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_document__document_type__food_safety",Chứng nhận ATVSTP,食品安全證書,ใบรับรองความปลอดภัยด้านอาหาร
Supervision / Inspection Document,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_document__document_type__inspection",Tài liệu giám sát,督導文件,เอกสารการตรวจ
Other Documents,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_document__document_type__other",Tài liệu khác,其他文件,เอกสารอื่นๆ
Uploaded By,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__upload_user_id",Người tải lên,上傳者,ผู้อัปโหลด
Upload Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__upload_date",Ngày tải lên,上傳日期,วันที่อัปโหลด
Download,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__file",Tải xuống,下載,ดาวน์โหลด
Created On,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Được tạo vào ngày,建立日期,สร้างเมื่อ
Document Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tên tài liệu,文件名稱,ชื่อเอกสาร
Download,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Tải xuống,下載,ดาวน์โหลด
Inspection Chart Data,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__inspection_chart_data",Dữ liệu biểu đồ,圖表數據,ข้อมูลแผนภูมิ
Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Báo cáo,報告,รายงาน
Identification,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",THÔNG TIN CHUNG,基本資訊,ข้อมูลทั่วไป
Contract,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",HỢP ĐỒNG,合約,สัญญา
Assigned Supervisor,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",NGƯỜI GIÁM SÁT,督導人員,หัวหน้างาน
Latest Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",KHẢO SÁT GẦN NHẤT,最新督導,การตรวจล่าสุด
Area & Address,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",KHU VỰC & ĐỊA CHỈ,區域與地址,พื้นที่และที่อยู่
Contact,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",LIÊN HỆ,聯絡方式,ติดต่อ
Control flags,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",CỜ ĐIỀU KHIỂN,控制旗標,การตั้งค่าควบคุม
Members,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Thành viên,成員,สมาชิก
Operating description,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Mô tả vận hành,營運說明,คำอธิบายการดำเนินงาน
Internal note,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ghi chú nội bộ,內部備註,บันทึกภายใน
Franchise start date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__franchise_start_date",Ngày bắt đầu nhượng quyền,加盟開始日期,วันที่เริ่มแฟรนไชส์
Franchise end date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__franchise_end_date",Ngày hết hạn nhượng quyền,加盟結束日期,วันหมดอายุแฟรนไชส์
Opening date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__opening_date",Ngày khai trương,開業日期,วันที่เปิดร้าน
Partner,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__partner_id",Đối tác,合作夥伴,พันธมิตร
Province,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__state_id",Tỉnh / Thành phố,省／市,จังหวัด/เมือง
Supervisor,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__supervision_user_id",Nhân viên giám sát,督導人員,เจ้าหน้าที่ตรวจสอบ
Area Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Người phụ trách khu vực,區域主管,ผู้จัดการพื้นที่
Area Manager,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__area_manager_user_id",Người phụ trách khu vực,區域主管,ผู้จัดการพื้นที่
Latest Inspection Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ngày khảo sát gần nhất,最新督導日期,วันที่ประเมินล่าสุด
Latest Inspection Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Điểm đánh giá mới nhất,最新督導分數,คะแนนล่าสุด
Latest Inspection Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Loại đánh giá mới nhất,最新督導評等,เกรดล่าสุด
Latest Inspection Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_inspection_date",Ngày khảo sát gần nhất,最新督導日期,วันที่ประเมินล่าสุด
Latest Inspection Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_total_score",Điểm đánh giá mới nhất,最新督導分數,คะแนนล่าสุด
Latest Inspection Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_grade_id",Loại đánh giá mới nhất,最新督導評等,เกrดล่าสุด
Leave empty to default to Area Manager,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Để trống sẽ mặc định lấy Người phụ trách khu vực,留空則預設為區域主管,เว้นว่างไว้เพื่อใช้ค่าเริ่มต้นเป็นผู้จัดการพื้นที่
Operating notes: delivery, loading bans, parking bans...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ghi chú vận hành: giao nhận hàng, cấm tải, cấm đỗ...,營運備註：外送、禁行時間、停靠規定...,หมายเหตุการดำเนินงาน: การส่งของ ข้อห้ามเวลา...
e.g. 219 Vinh Vien store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_franchise_management_form",Ví dụ: Cửa hàng 219 Vĩnh Viễn,例如：219 永遠門市,ตัวอย่าง: สาขา 219 วิญเหวียน
